ProbesetID	Begin	NRows
PSR020018959	2	8
PSR020018960	10	8
PSR020018961	18	8
PSR020018962	26	8
PSR020018963	34	8
PSR020018964	42	8
PSR020018965	50	8
PSR020018966	58	8
PSR020018967	66	8
PSR020018968	74	8
PSR020018969	82	8
PSR020018970	90	8
PSR020018971	98	8
PSR020018972	106	8
PSR020018973	114	8
PSR020018974	122	8
PSR020018975	130	8
PSR020018976	138	8
PSR020018977	146	8
PSR020018978	154	8
PSR020018979	162	8
PSR020018980	170	8
PSR020018981	178	8
PSR020018982	186	8
PSR020018983	194	8
PSR020018984	202	8
PSR020018985	210	8
PSR020018986	218	8
PSR020018987	226	8
PSR020018988	234	8
PSR020018989	242	8
PSR020018990	250	8
PSR020018991	258	8
PSR020018992	266	8
PSR020018993	274	8
PSR020018994	282	8
PSR020018995	290	8
PSR020018996	298	8
PSR020018997	306	8
PSR020018998	314	8
PSR020018999	322	8
PSR020019001	330	8
PSR020019002	338	8
PSR020019003	346	8
PSR020019004	354	8
PSR020019005	362	8
PSR020019006	370	8
PSR020019007	378	8
PSR020019008	386	8
PSR020019009	394	8
PSR020019010	402	8
PSR020019011	410	8
PSR020019012	418	8
PSR020019013	426	8
PSR020019014	434	8
PSR020019015	442	8
PSR020019016	450	8
PSR020019017	458	8
PSR020019018	466	8
PSR020019019	474	8
PSR020019020	482	8
PSR020019021	490	8
PSR020019022	498	8
PSR020019023	506	8
PSR020019024	514	8
PSR020019025	522	8
PSR020019026	530	8
PSR020019027	538	8
PSR020019028	546	8
PSR020019029	554	8
PSR020019030	562	8
PSR020019031	570	8
PSR020019032	578	4
PSR020019033	582	8
PSR020019034	590	8
PSR020019035	598	8
PSR020019036	606	8
PSR020019037	614	8
PSR020019038	622	8
PSR020019040	630	8
PSR020019041	638	8
PSR020019042	646	8
PSR020019043	654	8
PSR020019044	662	8
PSR020019045	670	8
PSR020019046	678	8
PSR020019047	686	8
PSR020019048	694	8
PSR020019049	702	8
PSR020019050	710	8
PSR020019051	718	8
PSR020019052	726	8
PSR020019053	734	8
PSR020019054	742	8
PSR020019055	750	8
PSR020019056	758	8
PSR020019057	766	8
PSR020019058	774	8
PSR020019059	782	8
PSR020019060	790	8
PSR020019061	798	8
PSR020019062	806	8
PSR020019063	814	8
PSR020019064	822	8
PSR020019065	830	8
PSR020019066	838	8
PSR020019067	846	8
PSR020019068	854	8
PSR020019069	862	8
PSR020019070	870	8
PSR020019071	878	8
PSR020019072	886	8
PSR020019073	894	8
PSR020019074	902	8
PSR020019075	910	8
PSR020019076	918	8
PSR020019077	926	8
PSR020019078	934	8
PSR020019079	942	8
PSR020019080	950	8
PSR020019081	958	8
PSR020019082	966	8
PSR020019083	974	8
PSR020019084	982	8
PSR020019085	990	8
PSR020019086	998	8
PSR020019087	1006	8
PSR020019088	1014	8
PSR020019089	1022	8
PSR020019090	1030	8
PSR020019091	1038	8
PSR020019092	1046	8
PSR020019093	1054	8
PSR020019094	1062	8
PSR020019095	1070	8
PSR020019096	1078	8
PSR020019097	1086	8
PSR020019098	1094	8
PSR020019099	1102	8
PSR020019100	1110	8
PSR020019101	1118	8
PSR020019102	1126	8
PSR020019103	1134	8
PSR020019104	1142	8
PSR020019105	1150	8
PSR020019106	1158	8
PSR020019107	1166	8
PSR020019108	1174	8
PSR020019109	1182	8
PSR020019110	1190	8
PSR020019111	1198	8
PSR020019112	1206	8
PSR020019113	1214	8
PSR020019114	1222	8
PSR020019115	1230	8
PSR020019116	1238	8
PSR020019117	1246	8
PSR020019118	1254	8
PSR020019119	1262	8
PSR020019120	1270	8
PSR020019121	1278	5
PSR020019122	1283	8
PSR020019123	1291	8
PSR020019124	1299	8
PSR020019126	1307	8
PSR020019127	1315	8
PSR020019128	1323	8
PSR020019129	1331	8
PSR020019132	1339	8
PSR020019133	1347	8
PSR020019134	1355	8
PSR020019138	1363	8
PSR020019140	1371	8
PSR020019141	1379	8
PSR020019142	1387	8
PSR020019143	1395	8
PSR020019144	1403	8
PSR020019145	1411	8
PSR020019146	1419	8
PSR020019147	1427	8
PSR020019148	1435	8
PSR020019149	1443	8
PSR020019150	1451	8
PSR020019151	1459	8
PSR020019152	1467	8
PSR020019153	1475	8
PSR020019154	1483	8
PSR020019155	1491	8
PSR020019156	1499	8
PSR020019157	1507	8
PSR020019158	1515	8
PSR020019159	1523	8
PSR020019160	1531	8
PSR020019161	1539	8
PSR020019162	1547	8
PSR020019163	1555	5
PSR020019164	1560	8
PSR020019165	1568	8
PSR020019166	1576	8
PSR020019167	1584	8
PSR020019168	1592	8
PSR020019169	1600	8
PSR020019170	1608	8
PSR020019171	1616	8
PSR020019172	1624	8
PSR020019173	1632	8
PSR020019174	1640	8
PSR020019175	1648	8
PSR020019176	1656	8
PSR020019177	1664	7
PSR020019178	1671	8
PSR020019179	1679	8
