ProbesetID	Begin	NRows
JUC17009694	2	4
JUC17009695	6	4
JUC17009696	10	4
JUC17009697	14	4
JUC17009698	18	4
JUC17009699	22	4
JUC17009700	26	4
JUC17009701	30	4
JUC17009702	34	4
JUC17009703	38	4
JUC17009704	42	4
JUC17009706	46	4
JUC17009707	50	4
JUC17009708	54	4
JUC17009709	58	4
JUC17009710	62	4
JUC17009711	66	4
JUC17009712	70	4
JUC17009713	74	4
JUC17009714	78	4
JUC17009715	82	4
JUC17009716	86	3
JUC17009717	89	4
JUC17009718	93	4
JUC17009719	97	4
JUC17009720	101	4
JUC17009721	105	4
JUC17009722	109	4
JUC17009723	113	4
JUC17009724	117	4
JUC17009725	121	4
JUC17009726	125	4
JUC17009727	129	4
JUC17009728	133	4
JUC17009729	137	2
JUC17009730	139	4
JUC17009731	143	4
JUC17009732	147	4
JUC17009733	151	4
JUC17009734	155	4
JUC17009735	159	4
JUC17009736	163	4
JUC17009737	167	4
JUC17009738	171	4
JUC17009739	175	4
JUC17009741	179	4
JUC17009742	183	4
PSR17017142	187	10
PSR17017143	197	10
PSR17017145	207	10
PSR17017149	217	10
PSR17017150	227	10
PSR17017151	237	10
PSR17017152	247	10
PSR17017153	257	10
PSR17017154	267	10
PSR17017155	277	10
PSR17017158	287	10
PSR17017160	297	10
PSR17017161	307	10
PSR17017162	317	10
PSR17017163	327	10
PSR17017164	337	10
PSR17017165	347	10
PSR17017166	357	10
PSR17017167	367	10
PSR17017168	377	10
PSR17017169	387	10
PSR17017170	397	10
PSR17017171	407	10
PSR17017172	417	10
PSR17017173	427	10
PSR17017174	437	10
PSR17017175	447	10
PSR17017176	457	10
PSR17017179	467	10
PSR17017180	477	10
PSR17017182	487	9
PSR17017183	496	10
PSR17017185	506	10
PSR17017187	516	10
PSR17017188	526	10
PSR17017189	536	10
PSR17017190	546	10
PSR17017191	556	10
PSR17017192	566	10
PSR17017195	576	10
PSR17017196	586	4
PSR17017197	590	10
PSR17017198	600	10
PSR17017199	610	10
PSR17017201	620	3
PSR17017202	623	10
PSR17017203	633	10
PSR17017204	643	10
PSR17017206	653	4
PSR17017208	657	2
PSR17017209	659	10
PSR17017210	669	10
PSR17017211	679	10
PSR17017212	689	10
PSR17017213	699	10
