TCID_GeneID	Probeset	AnnotationExon	AnnotationG_a	AnnotationG_b
TC1500264_CAPN3	PSR150001575	ENSE00003743813|ENSE00001933492|ENSE00002204882	ENSG00000092529|ENSG00000092529|ENSG00000092529	CAPN3|CAPN3|CAPN3
TC1500264_CAPN3	PSR150001576	ENSE00003800434|ENSE00003476707	ENSG00000092529|ENSG00000092529	CAPN3|CAPN3
TC1500264_CAPN3	PSR150001577	Intron	ENSG00000092529	CAPN3
TC1500264_CAPN3	PSR150001578	ENSE00003791787|ENSE00003563229	ENSG00000092529|ENSG00000092529	CAPN3|CAPN3
TC1500264_CAPN3	PSR150001579	ENSE00003573344|ENSE00003793180	ENSG00000092529|ENSG00000092529	CAPN3|CAPN3
TC1500264_CAPN3	PSR150001580	ENSE00003617374|ENSE00003791946	ENSG00000092529|ENSG00000092529	CAPN3|CAPN3
TC1500264_CAPN3	PSR150001581	Intron|ENSE00003487304	ENSG00000092529|ENSG00000092529	CAPN3|CAPN3
TC1500264_CAPN3	PSR150001582	ENSE00003798488|ENSE00003688077	ENSG00000092529|ENSG00000092529	CAPN3|CAPN3
TC1500264_CAPN3	PSR150001583	ENSE00003464872|ENSE00003796792	ENSG00000092529|ENSG00000092529	CAPN3|CAPN3
TC1500264_CAPN3	PSR150001584	ENSE00003800448|ENSE00003600997	ENSG00000092529|ENSG00000092529	CAPN3|CAPN3
TC1500264_CAPN3	PSR150001585	ENSE00003543631|ENSE00003795651	ENSG00000092529|ENSG00000092529	CAPN3|CAPN3
TC1500264_CAPN3	PSR150001586	ENSE00003793450|ENSE00003508111	ENSG00000092529|ENSG00000092529	CAPN3|CAPN3
TC1500264_CAPN3	PSR150001587	Intron|Intron	ENSG00000092529|ENSG00000092529	CAPN3|CAPN3
TC1500264_CAPN3	PSR150001588	ENSE00001527687|Intron|Intron|*ENSE00002594528	ENSG00000092529|ENSG00000092529|ENSG00000092529|*ENSG00000092529	CAPN3|CAPN3|CAPN3|*CAPN3
TC1500264_CAPN3	PSR150001589	Intron|Intron|Intron	ENSG00000092529|ENSG00000092529|ENSG00000092529	CAPN3|CAPN3|CAPN3
TC1500264_CAPN3	PSR150001590	ENSE00003801039|ENSE00003760241|*ENSE00002623062	ENSG00000092529|ENSG00000092529|*ENSG00000092529	CAPN3|CAPN3|*CAPN3
TC1500264_CAPN3	PSR150001591	ENSE00003483545|ENSE00003798376	ENSG00000092529|ENSG00000092529	CAPN3|CAPN3
