TC17001298_SGK494	PSR17017187	ENSE00002695789	ENSG00000167524	SGK494
TC17001298_SGK494	PSR17017188	ENSE00002695789|*ENSE00001861685	ENSG00000167524|*ENSG00000167524	SGK494|*SGK494
TC17001298_SGK494	PSR17017189	ENSE00002695789|ENSE00001861685|*ENSE00002768059|*ENSE00002697585	ENSG00000167524|ENSG00000167524|*ENSG00000167524|*ENSG00000167524	SGK494|SGK494|*SGK494|*SGK494
TC17001298_SGK494	PSR17017190	ENSE00003537419|ENSE00003655526	ENSG00000167524|ENSG00000167524	SGK494|SGK494
TC17001298_SGK494	PSR17017191	ENSE00002727563|ENSE00001869542|ENSE00003565529	ENSG00000167524|ENSG00000167524|ENSG00000167524	SGK494|SGK494|SGK494
TC17001298_SGK494	PSR17017192	Intron|ENSE00001869542	ENSG00000167524|ENSG00000167524	SGK494|SGK494
TC17001298_SGK494	PSR17017195	ENSE00001869542|ENSE00003540041|ENSE00002704277	ENSG00000167524|ENSG00000167524|ENSG00000167524	SGK494|SGK494|SGK494
TC17001298_SGK494	PSR17017196	ENSE00003558188|ENSE00003599735	ENSG00000167524|ENSG00000167524	SGK494|SGK494
TC17001298_SGK494	PSR17017197	Intron|Intron|ENSE00002154909	ENSG00000167524|ENSG00000167524|ENSG00000167524	SGK494|SGK494|SGK494
TC17001298_SGK494	PSR17017198	ENSE00003465235|ENSE00003564630|Intron	ENSG00000167524|ENSG00000167524|ENSG00000167524	SGK494|SGK494|SGK494
TC17001298_SGK494	PSR17017199	ENSE00003463545|ENSE00003574376|Intron	ENSG00000167524|ENSG00000167524|ENSG00000167524	SGK494|SGK494|SGK494
TC17001298_SGK494	PSR17017201	ENSE00003574376|ENSE00003463545|ENSE00001915494|ENSE00001897184|Intron	ENSG00000167524|ENSG00000167524|ENSG00000167524|ENSG00000167524|ENSG00000167524	SGK494|SGK494|SGK494|SGK494|SGK494
TC17001298_SGK494	PSR17017202	ENSE00001897184|*Intron	ENSG00000167524|*ENSG00000167524	SGK494|*SGK494
